Timestamp,Reference Element,Element,Ratio,Ratio Sigma,Ratio SNR,Error Percentage,v0_lat,v1_lat,v2_lat,v3_lat,v0_lon,v1_lon,v2_lon,v3_lon
20230208T033454917,Mg,Na,0.5406203840472674,0.013073946830966438,41.3509700656557,2.418322952066742,-47.1993,-49.5478,-49.1071,-46.7737,-80.6925,-80.0812,-78.9936,-79.6414
20230208T034118917,Mg,Na,0.5841346153846154,0.010994557251912264,53.129435046874484,1.8821958093808648,-27.5513,-29.963,-29.6627,-27.2682,-80.2896,-79.9738,-79.0857,-79.4152
20230209T045829154,Mg,Na,0.5447368421052632,0.01878259382397339,29.002215945807322,3.448012392806709,-77.5553,-79.872,-79.3547,-77.0662,-98.3361,-96.4451,-92.7326,-95.2009
20230209T045933154,Mg,Na,0.41647058823529415,0.014788011076664394,28.162718169212642,3.550793620103032,-74.3089,-76.6217,-76.1076,-73.8183,-97.3051,-95.7114,-92.8769,-94.8133
20230209T050805154,Mg,Na,0.8412197686645636,0.011984533118516077,70.19211848685877,1.4246613744635988,-48.2022,-50.5462,-50.121,-47.7914,-94.8567,-94.2646,-93.1643,-93.7964
20230209T050837154,Mg,Na,0.7536231884057972,0.006965542670469751,108.19303305695972,0.9242739312738706,-46.5649,-48.9128,-48.4964,-46.1629,-94.8016,-94.2391,-93.1693,-93.7683
20230209T054421154,Mg,Na,0.6114058355437666,0.01304993140373944,46.85126815061795,2.1344139432580342,63.4872,61.2133,60.7345,62.9928,-93.0141,-94.0742,-92.7639,-91.626
20230209T054629154,Mg,Na,0.4297082228116711,0.0086133591571435,49.888575986674375,2.004466914964876,70.0325,67.769,67.2717,69.5162,-92.6916,-94.1176,-92.48,-90.9208
20230209T065658104,Mg,Na,0.7076124567474048,0.018576473465323897,38.091861626389,2.6252326804296366,-75.9644,-78.2792,-77.7649,-75.4758,-98.8574,-97.1317,-93.9102,-96.0762
20230209T065730104,Mg,Na,0.4000000000000001,0.009352003024661925,42.77158582446674,2.3380007561654805,-74.3404,-76.6534,-76.1411,-73.8516,-98.4004,-96.8117,-93.9701,-95.9039
20230209T070146104,Mg,Na,0.3370577281191806,0.006298518578114407,53.513810261727585,1.8686765063245507,-61.3083,-63.6275,-63.1475,-60.8442,-96.6086,-95.7,-94.1868,-95.1874
20230209T070634104,Mg,Na,0.7394106813996316,0.009557783265381375,77.36215196234915,1.292621746725302,-46.5918,-48.939,-48.5243,-46.1914,-95.8858,-95.3258,-94.257,-94.8536
20230209T144738888,Mg,Na,0.5225,0.017992293152642468,29.040211582105204,3.4435010818454486,-79.1801,-81.6364,-81.6864,-79.2188,-103.622,-105.055,-99.2568,-99.1386
20230209T153818888,Mg,Na,0.3911949685534591,0.010499883887889251,37.25707567153863,2.6840539198945192,76.3418,74.081,73.5713,75.8056,-97.4884,-99.576,-97.3322,-94.9753
20230210T083352086,Mg,Na,0.4848484848484848,0.01341846947878059,36.13292004838585,2.767559329998497,-65.6854,-67.998,-67.5224,-65.2273,-110.734,-109.687,-107.922,-109.102
20230210T083424086,Mg,Na,0.5076687116564418,0.013014238946412125,39.00871297559817,2.5635298468461345,-64.0516,-66.3652,-65.8948,-63.598,-110.594,-109.613,-107.959,-109.056
20230210T083808086,Mg,Na,0.42301829268292684,0.007449535488027555,56.784519432490306,1.7610433441967843,-52.5923,-54.9213,-54.4966,-52.1821,-109.957,-109.306,-108.122,-108.826
20230210T103529570,Mg,Na,0.5367647058823529,0.01813565575923423,29.59720414901708,3.378697511309391,-54.4575,-56.7843,-56.3511,-54.039,-111.082,-110.388,-109.149,-109.903
20230210T151252752,Mg,Na,0.2850838481906443,0.007254968975797443,39.294978261338294,2.5448544425939637,73.6347,71.3708,70.897,73.1402,-111.369,-112.948,-111.025,-109.242
20230211T061737096,Mg,Na,0.5493197278911565,0.008322853747723504,66.0013673845234,1.515120124972576,-46.6788,-49.0288,-48.6367,-46.3018,-121.354,-120.812,-119.739,-120.322
20230211T120148934,Mg,Na,0.43995859213250516,0.007970381475341373,55.199188833513354,1.8116208247481804,-76.2069,-78.5413,-78.0235,-75.7193,-126.665,-124.741,-121.351,-123.753
20230211T120604934,Mg,Na,0.412532637075718,0.00557791128999598,73.95826423693721,1.3521139392838357,-63.1929,-65.5246,-65.0527,-62.7392,-125.103,-124.121,-122.469,-123.565
20230211T155356783,Mg,Na,0.4806800618238022,0.01281637098826432,37.5051613490239,2.6662996879122236,-87.5663,-89.7595,-89.3045,-87.1607,-143.979,142.31,-84.2936,-127.004
20230212T054214800,Mg,Na,0.5454545454545454,0.012947187432845146,42.12919201824529,2.3736510293549435,-79.6727,-82.0,-81.4833,-79.1947,-136.619,-134.073,-129.401,-132.826
20230212T054526800,Mg,Na,0.3557422969187675,0.005260738388535083,67.62212272217329,1.4788059879582869,-69.9057,-72.2261,-71.7432,-69.444,-134.847,-133.524,-131.34,-132.87
20230212T054702800,Mg,Na,0.3854889589905363,0.005661316209997832,68.09175546664684,1.4686065782072935,-65.0085,-67.33,-66.8651,-64.5615,-134.491,-133.443,-131.702,-132.879
20230212T062006800,Mg,Na,0.4053497942386831,0.0057215311765437295,70.8463839016512,1.4115046455838844,37.264,34.9343,34.6245,36.9417,-133.474,-133.853,-133.027,-132.629
20230212T093839739,Mg,Na,0.5399737876802098,0.012107329292516712,44.598918112680416,2.2422068568422935,-78.1258,-80.4476,-79.9363,-77.6485,-137.976,-135.692,-131.771,-134.691
20230213T071813276,Mg,Na,0.36746987951807225,0.013452423244963556,27.316259147261743,3.6608233748589356,-71.515,-73.8355,-73.3371,-71.0414,-147.569,-145.958,-143.571,-145.423
20230213T072053276,Mg,Na,0.45107398568019086,0.011169519083355148,40.38436948931693,2.4762055533998986,-63.3558,-65.6827,-65.2205,-62.9121,-147.394,-146.345,-144.7,-145.862
20230213T072125276,Mg,Na,0.3597122302158273,0.009358695265563995,38.436151622482555,2.6017172838267904,-61.7215,-64.05,-63.5953,-61.2846,-147.374,-146.399,-144.845,-145.921
20230213T092407154,Mg,Na,0.39212175470008953,0.008241471146632004,47.57909695046809,2.1017633038328647,-47.0936,-49.4426,-49.0642,-46.73,-148.337,-147.771,-146.693,-147.299
20230213T174222723,Mg,Na,0.49295774647887325,0.013126663219987138,37.55392655524808,2.6628373960545337,35.0782,32.7359,32.4527,34.7832,-153.109,-153.422,-152.601,-152.271
20230214T064855720,Mg,Na,0.6521739130434782,0.0199666086419226,32.66322913116806,3.0615466584281323,-84.8082,-86.4383,-87.0682,-84.291,-159.108,-158.824,-149.336,-152.344
20230214T065207720,Mg,Na,0.48089591567852435,0.012162644436267066,39.53876298846404,2.5291635964730697,-75.0123,-77.3111,-76.8134,-74.5439,-159.572,-157.448,-154.572,-157.046
20230214T071151720,Mg,Na,0.42380183091007,0.004436132016923897,95.53408899763599,1.0467467795969094,-14.1639,-16.5709,-16.4451,-14.0533,-160.222,-160.078,-159.29,-159.441
